negativereason,text
Late Flight,@united Yeah sorry but there's always a problem with United. And you have an international reputation for having problems.
Can't Tell,"@united but then again, maybe the @BBBNE_SD_KS_IA would care more to hear what went on than whoever listens to issues you caused"
Can't Tell,@united I wonder if sharing all this on FB and insta would produce a number. 140 characters really limits my story telling.
Flight Attendant Complaints,@united so you're telling me there is no number to call after being left in an airport because of a negligent pilot and staff?
Customer Service Issue,@united Could this email be resent as it doesnt appear to have arrived.
Customer Service Issue,@united you have to follow me in order for me to DM...come on now
Bad Flight,"@united $25 United coupon to make up for broken entertainment system on a 9-hour flight, seriously? #Ridiculousness #learncustomerservice"
Lost Luggage,@united So they didn't drop my bag overnight &amp; now I'm leaving for a week. This is why you were supposed to hold on to the bag....
Customer Service Issue,@united I did DM the details but still no response. I have to book today.
Customer Service Issue,@united not able to DM you my confirmation number
Late Flight,"@united I've sent the message, let me know if you got it. I'm not very twitter-literate. Also, is he REALLY going to be stuck for 18hrs?"
Customer Service Issue,@united very unhappy at no response to complaint emailed on 2nd Feb ref.8441639. Awful customer service!
Flight Booking Problems,@united we were not given the option of using our United TravelBank in a recent Flight Booking Problems! Any help in using or recouping these funds? Thanks!
Late Flight,@united common!! keep your paper work ready and don't delay our flights(#1585)and meetings @ChooseChicago
Late Flight,"@united yep that's correct, I got an email at 12:30 am that the flight was Cancelled Flightled, doesn't matter now flight into atl is delayed, thx"
Late Flight,@united 1k and had problem getting out of FLL to IAH  sent DM to you about making my connection  please let me know
Cancelled Flight,"@united I'm grounded in Montreal with ua3659. I am missing my connection ua3417 to St. Louis. Can you help,Do you have a private jet for me?"
Can't Tell,@united I'm so frustrated and nervous because of this.
Flight Attendant Complaints,@united are the ones who make it difficult for me.
Bad Flight,@united I'm not a child. I'm someone who has an issue with flying and prepares ahead of time to reduce the distress caused by planes. You
Cancelled Flight,@united how does it get Cancelled Flightled 10 hours before take off?
Can't Tell,"@united This ALWAYS happens with you guys, and it makes traveling incredibly stressful and uncomfortable. Is that good business to you?"
Bad Flight,@united So what does someone with severe anxiety do when the one person who can help him isn't next to him?
Can't Tell,@united I'm seeking to go 2 client. B/c u cant get me there I need refund. I filled out form not confident it works if past is an indication
Customer Service Issue,@united Luckily I made my flights this time but was so disappointed with the lack of communication :(
Cancelled Flight,@united checking to see why flight 3466 (atl-ord) got Cancelled Flighted?
Customer Service Issue,@united service so far has been horrid. We wanted to end the trip on a high note. Guess that's not an option.
Bad Flight,@united Booked a flight home over 7 months ago and requested seats together for my fiancÃ©e and I. We got 2 middle seats. UNACCEPTABLE. The
Can't Tell,@united YOU GUYS ARE HORRIBLE.
Customer Service Issue,@united Why do I have to pay $ 17 for wifi with an international business ticket?  #pennypincher
Lost Luggage,"@united ok. To top things off, you've lost my luggage. Could you get ANY worse??? #UnitedAirlines"
Can't Tell,@united maybe one day you'll be the one quoted on http://t.co/mJkpgVXmPC
Late Flight,@United flight delayed-no one remembered to turn the heat on flight 559 leaving ORD-seriously???
Lost Luggage,@united did  bags make it on the flight out of iad? second day without clothes is pretty inconvenient. We're pretty curious #UnitedAirlines
Lost Luggage,@united did our bags leave Washington yet? That would be convenient seeing as we left there a day ago. #UnitedAirlines #lostluggage
Lost Luggage,@united about 3 hours ago. I need to work out if my bag can make it to my hotel here in time or if it will need to go elsewhere.
Lost Luggage,@united Thanks for remembering to load my bag onto my connecting flight. Oh wait you forgot. Iceland should be fun with no clothes....
Late Flight,@united it was UA flight 1001! Now I'm currently stuck in Portland because I missed my ride because of the 3 hour delay. #GetMartyHome
Lost Luggage,@united how we looking on getting those bags to Lusaka
Lost Luggage,@united Could you update me on the suitcase please? The online and phone tracking told me nothing. I was told I'd have it back yesterday!
Can't Tell,@united just 1 last thing. U guys shouldn't be charging $ for drinks on a transatlantic flight
Can't Tell,@united LHR arrival lounge #fail. Waited 20 mins for shower then left to find hotel. U know how many passengers u carry. Planning???
Cancelled Flight,@united completed form but doubt it's any use. UA doesn't care. 6 day vacation will now be 5. Sure UA won't feel responsibility for that...
Flight Attendant Complaints,"@united nope, they told us it was time for them to go home and to sleep at the airport. Even though they assured us we would get a room..."
Lost Luggage,"@united ..back for the expensive holiday, he worked all year to pay for, that you RUINED! We want compensation &amp; his original case back!"
Lost Luggage,@united thanks United I understand that. But he would actually like his own bag back! What have you done with it?! He also wants the money..
Late Flight,"@united It's still a valid flight. Just seems strange to delay for Late Flight inbound crew,  7 hours from now, when the plane is already here."
Bad Flight,@united   It's too bad UA has had another unforeseeable operational issue on my return flight.
Lost Luggage,@united if I pay you $25 and $35 for my luggage to be delivered when I arrive. Why should I have to wait 3 additional days for its delivery?
Cancelled Flight,@united so 8 hotels for 32 people but feel like we are being held hostage because someone has our boarding passes so we can't leave! #FAIL
Late Flight,@united no Cancelled Flightn just left us to fend for ourselves when flt came in Late Flight. Getting runaround for 3 hrs. Each employee blaming  previous 1.
Lost Luggage,@united okay ase24766m. Find our luggage.
Lost Luggage,@united But they are not... lady one phone says its in tel aviv. Tel Aviv united says its in Newark. No one knows and I have nothing...
Lost Luggage,"@united yes, but still now answers. Many have not had their luggage for 3 days! Unacceptable!!"
Can't Tell,@united plus what about food? And taxis?
Can't Tell,@united you are offering us 8 rooms for 32 people #FAIL
Flight Attendant Complaints,@united 32 people getting pretty tired about no action on solving the problem plus missing a day of vacation and skiing
Late Flight,@united on 4124 arriving two hours Late Flight into CLT. Now sitting on the tarmac while they move a plane from the gate. Unhappy customer.
Can't Tell,@united airlines is the absolute worst. They have no idea what they are doing. #neveragain #UnitedAirlines
Flight Booking Problems,"@united it's frustrating, as a frequent flyer, loyal since Continental. Upgrade equals paying 3 times or more on top of purchase ticket."
Late Flight,@united 4 passengers after a 2 hour delayed flight left with no hotel at the end of the night @ hou airport. Wtf??!! http://t.co/ZfqMpGXVS6
Late Flight,"Hey @united why does the flight from IAH to POS leave so Late Flight, and the one back to IAH so early? I rather get to POS earlier"
Lost Luggage,@united Lost bag process is broken. Agent promised they'd call &amp; hold my bag when found. Now they're waking me at 3am w/ delivery. #fail
Cancelled Flight,@united the people at the counter have been very helpful. As you can see nobody is there. Flight to Austin 10:55 and still sitting here.
Late Flight,"@united good to know you will open the closed doors for ""premier passengers"" after safety briefings on delayed flights. #annoyed."
Late Flight,@united yea get me to phoenix already. Delays all day with you people. It's bullshit.
Late Flight,"@united If it's any consolation, your staff was stellar. Just not the hour+ delays I encountered with every one of my 4 flights."
Cancelled Flight,@united Lost bags. Cancelled Flightled flights. Delhi call centers. Poor United staff spread thin and stressed. You name it.
Lost Luggage,@united Yes. Doesn't make that mistake any less absurd. Doesn't change the fact that I'm very inconveniently missing my luggage tonight.
Can't Tell,@united I'm constantly having challenges with upgrades &amp; charges. In order to prevent DVT I have to pay an addtl $180 http://t.co/xC6jQ70r7B
Flight Attendant Complaints,"@united In ORD, waited 20 min after crew members left before gate items came. Flight attendant sarcastically said good luck and walked away."
Can't Tell,@united seriously #fail on making strangers share a room
Lost Luggage,@united we needed them here asap. Will they make it on today's flight?
Flight Attendant Complaints,@united why would they make me share a room?
Late Flight,@united can you ask your guys with flight 1146 to BWI to wait for us to get off a delayed flight from San Diego? Pretty please?
Cancelled Flight,"@united for an early flt, I think a call is appropriate. Yes, reviewed and nada avail until next day. Expect full refund"
Late Flight,@united Yo yo yo stuck on the tarmac for over 2 hours at @fly2ohare ... Going to miss my ride at @flypdx help please! #HelpImStuck #United
Flight Attendant Complaints,"@united well, considering every agent before claimed they were unable to help with everything else, why waste more time to hear 'call corp'"
Cancelled Flight,"@united Ice, which I totally understand. But when a large number of us are facing 15+ hours of time and overnight Cancelled Flightations it seems like"
Cancelled Flight,@united flt 1249 Cancelled Flightled and I get email @3:30 AM? What happened to courtesy phn call? Had to book diff airline &amp; city
Lost Luggage,"@united tag numbers 0016 964012, 0016 964077, 0016 964078 - let's find these bags."
Can't Tell,@united Well the bar is set low! You guys are really good at the apology game! What will change? When will u guys learn?
Can't Tell,@united Your website deserves a new design. #html5 FTW!
Lost Luggage,@united thanks for effing up our holidays - we're missing a full day of skiing due to your baggage team's incompetence at @FlyYOW
Lost Luggage,@united Connection at ORD was on the exact same plane again. Checked carry-on was apparently taken off &amp; left in Chicago. Pretty ridiculous.
Lost Luggage,@united Not encouraged that I'll have my CPAP tonight.
Lost Luggage,@united Yes. Did file a claim as soon as the carousel stopped without my bag on it. Got an email that its found but not sched for delivery
Late Flight,@united  Delay DEN-CLE because they have to manually enter baggage tags? Really? Worst cust service day for this 1ker. #friendlyskies??
Flight Attendant Complaints,"@united Why tell us flight is delayed, then tell us it's on time again with 20 min to spare? Don't say it's delayed unless you're sure!"
Lost Luggage,"@united yes in Lusaka, Zambia. My guess is the bags never made the plane at IAD."
Late Flight,"@united Late Flight to Denver, Late Flight to Newark...let's not even get into the disaster that was checking bags. Unacceptable."
Can't Tell,@united has once again let me down. Don't think I've ever flown with them and not had problems. Worst airline period.
Lost Luggage,@united yes I filed a claim &amp; hope to receive by luggage by 2am. Ridiculous as I had to purchase items to go to sleep &amp; no reimbursement.
Bad Flight,@united UA938 ORD-LHR.  bags are being loaded 30min Late Flight. Frigid air into cabin! Plane feels like falling apart! Upgrade long haul fleet!
Flight Attendant Complaints,"@united Flight attendant never served me my beverage (tea), and not once checked up on me. What gives? #ua6076 #notcool"
Can't Tell,@united load balancing system apparently down #systemwide - major impact on all #united airlines flights. Was this a #cyberattack?
Late Flight,@united After our unscheduled refueling stop and missing 2 connecting flights we r home n looking 4ward to our bed and a big PB&amp;J sandwich.
Can't Tell,@united @AmericanAir spent hundreds to rectify the situation and you guys go quiet
Late Flight,@united UA276 sitting at EWR nearly an hour after sked.  Pilot says computers down but no clue when we will leave.  Can you help?
Can't Tell,@united @AmericanAir so that's it? It just ends there? Come on! I traveled for literally an extra day and a half because of this!
Bad Flight,@united updated A320 aircraft has wifi and device entertainment but no outlets. I don't get it. How can I charge devices?
Late Flight,"@united 5 gate changes, two delays.  Even the crew thinks the airline sucks"
Cancelled Flight,@united I'm very frustrated and have wasted 2 days now due to your equipment failures.
Flight Booking Problems,@united That's correctâ€”I've spent hours trying to book online only to receive an error when clicking final purchase button. (1/2)
Late Flight,@united Today was not your finest. All could have been prevented by one gate agent advising 200 passengers.
Late Flight,@united  what is the real deal with the delay on flight UA 1032 from Denver to Vegas?
Flight Attendant Complaints,@united UA63 from Madrid arrived no agent mass confusion we sent to and fro by 3 UA employees. MaryJo was rude and unhelpful.
Bad Flight,@united system failure again = bad trend.  Software projects are like flying an airplane; there's no such thing as an emergency takeoff.
Late Flight,@united lots of reports of system failures delaying flights over the last week. Currently sitting on the tarmac at OGG for over an hour.
Lost Luggage,@united can you tell me how to file a claim for clothing that had to be purchased?
Can't Tell,@united comically on the return flight from ASE there were two United flights boarding at adjacent gates and not clear which plane to board
Lost Luggage,@united GRK13575M is the file reference
Bad Flight,"@united UA 746. Pacific Rim and Date Night cut out. Not constantly or randomly, but one spot, repeatably."
Can't Tell,@united Been trying since 1230 to file a report.
Flight Booking Problems,@united here is the ticket # 0162424965446 please refund my unnecessary upgrade fee
Bad Flight,"@united is horrible!! They lost our carseat and expect us to use a loner carseat, safety regulations say it's illegal to use a used car seat"
Flight Booking Problems,"@united: I don't care that a @thehipmunk link showed me a ""wrong"" price on your siteâ€”it's your site &amp; responsibility to ensure correctness."
Cancelled Flight,"@united He needs to get to home the 24th, they're telling him it'll be the 25th @ night. Is there compensation or anything that can be done?"
Can't Tell,â€œ@united: @mllovelace The baggage fee is waived for Premier members. Please see http://t.co/u6Duw27mDE. ^JPâ€ what's the point of membership?
Lost Luggage,@united wonderful bag claim people - finally have my bag. But why did I catch earlier flight? Original flight just landed. #wastedtime
Can't Tell,@united Dmed you. Thank you
Lost Luggage,"@united 3 days Late Flightr and my bag has not left IAD, United is not helping at all. Everyone tells me a different story"
Lost Luggage,@United how do you lose a gate checked bag DEN to ORD? Direct flight. Ugh.
Lost Luggage,"@united caught earlier flight to ORD. Gate checked bag, and you've lost it at O'Hare. original flight lands in 20minutes. #frustrating!"
Lost Luggage,@united Can you please follow for a Dm on a missing bag?
Lost Luggage,@united what's a good number to call to speak with someone about how you can fix what you did to 50 people and their luggage on Saturday?
Lost Luggage,@united where's my damn bag??
Lost Luggage,@united well someone should tell that to the employees at the Denver baggage claim. Still no bag!!!!
Flight Attendant Complaints,@united Male agnt in LAS threatens Canadian cust when cust takes pic of him at gate after agents announce can't help rebook. #friendlyskies?
Cancelled Flight,@united @Apollochplayers we just want to go home tonight - why did you Cancelled Flight the last leg of our reserv. w/out our permission??! #PH6RPS
Bad Flight,@united landed in Boston at 9 last night.  The 15 hours of traveling was rough tho.
Cancelled Flight,@united FAIL You Cancelled Flightled our flight frm GJT and then used our reserv home to IAH (from SEA) for reFlight Booking Problems w/out OUR PERMISSION!! #PH6RPS
Late Flight,@united has made my no fly list. Other airlines wait when connector Late Flight. Stuck in IAH.
Bad Flight,@United now what?!? http://t.co/5hpSqVRjK8 flight was gone when I got off plane! #BusinessTravel #goodenoughmother
Lost Luggage,"@united the proper response: sorry for your wait, what flight # were you on so we can look into the issue. That's how @Delta would handle."
Flight Attendant Complaints,@united Agent in LAS letting 20 customers know they can't help them rebook delayed flight to DEN #unfriendlyskies http://t.co/QuzVmK2rTR
Bad Flight,@united empathizes w/ my disappointment that 1stClass flight w/nonworking entertainmnt is worth $50. #UnFriendlySkies http://t.co/lOecO4gmvd
Flight Booking Problems,@united searched for mileage tickets to BOM couldn't find a single one is saver awards - I see how you play.  Earn miles but can't use them.
Lost Luggage,"@united flight arrives 30 minutes early, but then have we to wait for an hour for our bags."
Lost Luggage,@united That's not the issue. The fact that no one even called (despite promises) to confirm the bag's location is.
Can't Tell,@united still waiting to hear back. My wallet was stolen from one of your planes so would appreciate a resolution here
Lost Luggage,@united or @flysaa has lost my baggageâ€¦ heard different things from different employees of @united. @flysaa has said nothing.
Bad Flight,"@united cs thinks that miles can repair the damage done, it will be interesting if they travel in @united and exp the worst flight ever!"
Flight Booking Problems,@united that is not in line with your responses here. And now I'm waiting until tomorrow morning because all the flights are overbooked.
Can't Tell,@united your helpful agents in Club helped.  I am just out baggage fees and a night of my life.stop doing business with @SilverAirways
Can't Tell,@United never heard of this? http://t.co/QDebyaHqfM
Flight Booking Problems,"@SouthwestAir doesn't charge ticket change fees. Do they not incur the same mysterious ""costs"" that you incur, @united?"
Cancelled Flight,@united Exhausted &amp; frustrated! Link to a FB post abt my travel issue https://t.co/LaRKC8vc4s
Flight Attendant Complaints,@united I was denied getting on the plane w/o getting the chance to prove it fits. I'm not a rookie. Read my bio.
Flight Attendant Complaints,@united currently on board so not now. Check in was terrible. Staff rude. Expensive luggage thrown around etc.
Cancelled Flight,"@United fucked up, then voided my ticket, and KEPT MY MONEY.  Not even an apology. I will never fly with your airline again. #UnitedAirlines"
Can't Tell,"@united Just got demoted from Gold cuz my hubby got 100% of the PQD, tho there were enuf $ spent for 4 Golds.#spousal.discrimination/angry."
Bad Flight,@united Lovely new plane from LGA to ORD but no power outlets?
Lost Luggage,"@united but if i tweet the ID number, won't that reveal my home address to anyone on the web?"
Cancelled Flight,@united I filed a delayed bag report on Saturday! my flight was Cancelled Flightled and I never went anywhere!
Flight Attendant Complaints,@united i need it there before she lands so she can have the EWR baggage claim file to have it sent but the employee has not droppeditoffyet
Can't Tell,"@united rarely ceases to amaze...for the worse.  i hope this is the last time i ""have"" to fly with you."
Can't Tell,@united iCloud it is not there yet -- PLEASE HELP 917 703 1472
Late Flight,@united #albanyairport delayed departure to check bags at gate claiming space filled and walk on to open spaces a delay #poorcustomerservice
Cancelled Flight,@united you Cancelled Flighted our flights for no reason &amp; now we have been on the phone for AN HOUR on our vacation. Why?
Lost Luggage,@united of course I did. The bag should be here by now :( #frustrated
Can't Tell,@united you are the worst. I will avoid you like the plague.
Can't Tell,@united is the worst airline in the world.
Can't Tell,"@united I will give you one thing, you are consistent but unfortunately you are consistent at not doing your job well #AlwaysDelayedOnUnited"
Can't Tell,@united I will but right now I'm to angry
Can't Tell,@united first time flying with United. Also last time. #terrible back to @VirginAtlantic for me. #branson #virginatlantic #UnitedAirlines
Can't Tell,@united I used to be a committed #ContinentalAirlines flyer until merger. I remember now why I switched to @SouthwestAir #CommunicationFail
Bad Flight,@united the least you could do is offer me a ticket in coach instead of just Cancelled Flighting my reservation because of your glitch!!! #notfair
longlines,"@united I'm saying I made the flight but with poor/non-communication, unaccounted for lost time &amp; lots of frustrated flyers standing around"
Can't Tell,@united I think DM would be better
Late Flight,@United gate announcement states delay due to maintenance yet app says Late Flight arriving aircraft  tell the truth! @unfriendly
Lost Luggage,@united you are easily the worst company I have ever experienced. You have lost someone's personal possessions &amp; you couldn't care less!....
Late Flight,@united how can your app show arriving aircraft is early but departing flight is delayed due to Late Flight arriving aircraft? @unfriendly
Lost Luggage,@united already did that at the airport and 12 hrs Late Flightr its still not here! you guys are really killing me today. trying to stay positive..
Can't Tell,@united once united's service levels reaches those of Etihad or lets be more realistically Lufthansa then ill consider it again
Late Flight,@united really?  Someone called in sick and then someone FORGOT to call a replacement?!  Now an hour Late Flight to take off. #theworst
Flight Attendant Complaints,@united Asked Flight attendant what typical compensation would be &amp; says we might get free TV. #Unacceptable
Late Flight,@united has been such a disappointment today. Simply put. Rather unpleased with things currently. Flight delayed; cant wait to just get home
Flight Attendant Complaints,"@united During the same round trip, my NON-English speaking friend was stranded TWICE for 12+ hours each time! Most staff members were rude."
Can't Tell,"@united  found a group of people who actually hates people more than ISIS, thats right United Airlines."
Late Flight,@united by the time I finally get to Dallas I could have driven with less frustration and cheaper.
Late Flight,"@united I'm trying to get to my final destination, we need compensation. Just about 2hrs of personal time wasted."
Lost Luggage,@united how can you not put my bag on plane to Seattle. Flight 1212. Waiting  in line to talk to someone about my bag. Status should matter.
Can't Tell,"@united @campilley hahaha. If they weren't an American company, i would say this was great sarcasm!!"
Can't Tell,@united i think he actually did not like your screen  @campilley ðŸ˜ƒðŸ˜ƒðŸ˜ƒ
Flight Attendant Complaints,@united Apparently they are asking 20 people to off board the plane--how can such a big miscalculation be made?!
Can't Tell,@united It's a shame choosing #United may be the difference between reuniting with aging friends and never seeing them again #PoorService
Late Flight,@united my flight was delayed due to maintenance in LIT and caused me to miss my connection at IAH to MSY. Can you help?
Cancelled Flight,@united #UnitedAirlines Pls Fix #AspenBaggageFail issues. Had to pay my own way to #Aspen after flight Cancelled Flight. Left us in the cold in DEN.
Can't Tell,@united Read my bio. See who I work with. I have NEVER encountered this with your airline before. Disappointed is an understatement.
Cancelled Flight,@united In the process of recovering their car rental - condo rental $ in Florida. They called #United for an alternate flight #NOANSWER
Late Flight,@United We've been waiting on tarmac for &gt;1hr because apparently UA1116 is overweight &amp; we returned to gate. #WTF #fb
Flight Attendant Complaints,"@united Thank you. Mention that before I boarded she asked 1other person to measure their bag, and it was another woman. Men not asked."
Can't Tell,@united Can't leave the Tarmac ..united's gate agent cannot agree on a head count. 20 min now counting a 100 people max #epicfailunited
Can't Tell,@united That's real dedication &amp; concern. Your apologies don't fix the issue nor any of the miserable issues I've had over the past 6 mos.
Flight Booking Problems,@united booked flights for 2 for $779. Was charged $389.50 twice. Means I can't redeem CC points properly. Would have gone elsewhere.
Lost Luggage,@united We've had a ton of problems with getting our bags and have been given the run around for a day. Whats up with that?
Flight Booking Problems,@united pedophile airline. Split myself and my 10 yr old daughter rows apart on flight 1254 to boston
Lost Luggage,@united have been waiting 2 days for my military bags from an airport 3 hours away from me. Horrible.
Bad Flight,"@united Arriving 25 minutes early is nice, but not if equipment isn't ready. Waiting 30 minutes for luggage, so far. Time gains wiped out."
Flight Attendant Complaints,@united is doing musicians real dirty at LAX. I've never been blocked from getting on a flight with my bass.
Flight Booking Problems,"@united I'm rebooked now, but the line was 300 people deep."
longlines,"@united @FlyEIA yes, they said it took more than an hour!"
Can't Tell,@united those whose pay to actually fly with you over 30k/ year deserve better service than a CC holder.
Can't Tell,@united Not a happy flyer.  UA flight 1161 from SFO to Cleveland.  Sunday 2/22.  Stay tuned for blog article from http://t.co/VdFdODqVGx
Late Flight,@united 20 min more delays to flt 2086 at sfo 2 load 2 more pax makes no sense. Will strand many of us overnight at ORD due to missed cnxns
Lost Luggage,"@united Heads up We didn't check 8 bags, 2 we checked arrived, those aren't claim #s for our 2. Other people's bags? http://t.co/dplQ3mhQGD"
Lost Luggage,"@united This must be a drone â€œ@united: @KeamBleam We understand your frustration. Our Bag team is working hard to get your bag(s) to you..."""
Flight Attendant Complaints,@united flight attendant doesnâ€™t understand not understanding English doesnâ€™t mean they are deaf. Stop yelling English slowly to them.
Late Flight,@united well that's big of you but I don't have terribly high expectations at this point.
Cancelled Flight,"@united Ok thank you, do you provide complimentary hotel accommodations since I'll have to stay overnight?"
Late Flight,"@united really? 3 hr delay, 4 gate changes, &amp; you boarded us, sent us back up, &amp; boarded us again.  Won't change our flight. Can we go now?"
Bad Flight,@united I did. The AC went on for about 20 minutes before returning to the Mojave Desert. #PressureCooker #HeatTrap
Late Flight,@united when an airline causes the missed connection u would think they would take whatever steps to remedy that screw up.
Late Flight,@united Flight UA1270 is descending into farce and we haven't left EWR yet. Is this going to get any worse?
Bad Flight,"@united I was told it was due to be on UA23 which flies direct to Dublin, so why did it go to London? This is a complete shambles!"
Lost Luggage,@united 45+ min at EWR baggage claim #stillnobags #ridiculous
Late Flight,"@united On a standby to Denver, which has been delayed, and a confirmed to Aspen, whose flights have been Cancelled Flighted all day. 0 confidence."
Late Flight,@united yes at 2am...but now back on a plane again and delayed again due to baggage loading issue... http://t.co/NfAQHhr09j
Late Flight,@united at what pt do u just Cancelled Flight!  Finally got stndby 4 1pm flight. What a day!  #missedWork #clientNotHappy http://t.co/sUPrLfOi8T
Can't Tell,@united don't see a justifiable cost to get on an early flight with seats. No airline charges to conveniently get their passengers in early
Can't Tell,@united Woke up to notification- flight moved 1.5 hrs early. Barely made flight then 3 hrs layover in SFO - wanted to hop on earlier option
Can't Tell,@united Thanks! I'll fill up the form as soon as I land. I don't like being duped so I hope you will appreciate my feedback &amp; will be better
longlines,"@united, this is the line in Denver to rebook due to weather issues. DO BETTER. http://t.co/tmccExYaaQ"
Late Flight,"@United the ones who suffer. I understand delays, I don't understand trying speed up a process that has been delays to this extent."
Cancelled Flight,"@united 2 Cancelled Flighted flights Late Flightr, agent claimed she put me on a new flight but then Cancelled Flighted it. Coworker got on flight- now delayed. Now?"
Late Flight,"@United of urgency, but this is ridiculous. Your ceo claims to be customer focused, yet when delays happen, planes sit and customers are"
Late Flight,@united I wasn't asking for a full refund but delaying me 3 hours and giving no reason should be enough to give partial credit
Bad Flight,"@United flight was scheduled for 11:56, it's 1:05 and we haven't moved. I have never been on a flight where everyone moved without a sense"
Flight Booking Problems,@united go to hell
Bad Flight,"@united since bulkhead seats cannot have bags on floor, why don't u reserve o/head space above those seats? In 1B on UA246 - not impressed"
Cancelled Flight,"@united  18 flights so far this year. 13 delays including 2 Cancelled Flightations.  Late Flightst reason, crew needed mandatory sleep. IN MEXICO!"
Lost Luggage,The saga of the @MelissaAFrancis bag delay w/ @United - will there be a reunion or will she be forced to go shopping? Stay tuned.
Flight Attendant Complaints,@united Flight 211/ORD gate agent tried to prevent me from taking onboard a bag I've used for 15 years! Flight crew was more reasonable!
longlines,"@united it was UA381 on 14 Feb. Point is, overselling flights= bad. Making people wait 1hr while you kick them off after boarding is worse"
Cancelled Flight,@united we've been here since 3am and you've Cancelled Flightled our flight twice
Cancelled Flight,@united no chance I wait in ORD all afternoon for another flight after you screwed me. Hold 5396
Late Flight,@united UA5396 can wait for me. I'm on the ground trying to get to the gate after we were moved to B. This is crap.
Late Flight,@united better just keep connection from ORD To FWA that boards in ten minutes open until I get off the plane that just landed an hour Late Flight
Can't Tell,@united noooooooooooooooooooooope.
Cancelled Flight,"@united Oh, we are sure it's not planned, but it occurs absolutely consistently, it's usually the only YYJ flight that's Cancelled Flightled daily."
Flight Attendant Complaints,"@united it's not getting any better. I'd suggest you get a senior manager to this gate , then retrain these gate people"
Can't Tell,@united @JMS2802 : nothing like supporting your own mechanics and maintenance workers...instead United puts out a video of TIMCO doing wifi.
Late Flight,@united already missed  connection ugh
Can't Tell,"@united @JMS2802 : sure show a video of your outsourced favorite TIMCO, who has a knack for doing substandard maintenance work on aircraft."
Can't Tell,@united there are a lot of unhappy cold people on the bridge in freezing temps for an hour. Not given any info.
Late Flight,@united flight 3763 IAd-Sat. We're on the outdoor track for an hour
Bad Flight,@united - SERIOUSLY it's 2015?!?!  NO WiFi on a 5hr flight from CLE-SFO #1589.  You're the ONLY airline w/out WiFi...and pls no 'unwind' BS.
Late Flight,@united u would not be able to rebook me to get home any sooner than a now 2hr delayed flight.  #linesforever #customerservice #fail #again
Can't Tell,@united you're the reason this whole travel experience has been a nightmare
Can't Tell,@united that's not even an apology
Bad Flight,@united that's cool - now what?
Flight Attendant Complaints,"@united, b4 boarding this attendant took his shoe &amp;sock off at the desk and showed other agents his foot. So gross. http://t.co/755VpYm4Mv"
Late Flight,@united #unitedairlines so is it 6:20 pm or 12:20?   ORD ABQ 3709.   I can't even take a walk without missing a change.
Can't Tell,"@united Hopefully my baggage fees will be waived tomorrow when I actually get on a flight, as well as compensation for my hotel room"
Can't Tell,"@united Either is fine. However, plundering my hard-earned dollars is not fine."
Cancelled Flight,"@united your SFO-YYJ fight is Cancelled Flightled several times each week, why even bother?"
Bad Flight,"@united, and now while waiting for new pilot the door on plane BROKE. why am I global services status  on an airline that's unsafe? STUNNING"
Cancelled Flight,@united How do I get reimbursed for hotel and taxis for the Cancelled Flightation?
Bad Flight,"@united Awesome flight crew on UA1589, re the plane,  the  Jurassic period called and they want their dinosaur/plane back!"
Can't Tell,"@united e-ticket # 0162389030167, refund request # 16866853, case id # 8465981"
Can't Tell,"@united
You really know how to piss people off. Your Farelock option is fake!"
Late Flight,"@united, last week shanghai to sfo 858 delay 5hrs bc of engine. today sfo-sea delay to ""sick pilot"". no compensation. They Do. Not. Care."
Flight Booking Problems,@united only thing confusing me is why I lost priority boarding? I'm a mileage plus card member ðŸ˜”
Late Flight,@united We're hoping to hear from you actually.
Late Flight,"@united shes been rescheduled for today, but with the frigid cold, being a possible reason for ""maintenance"" it could be the same issue 2day"
Late Flight,"@united a) she's an international. Her phone is on the fritz, I had to get to Chicago from nearly 4 hrs away to figure everything out."
Lost Luggage,"@united sorry for the delayed response. It was UA #381 Chicago to San Fran. Held up for almost an hour on the Tarmac. Also, lost my bags"
longlines,@united gate C 24 IAD. U released passengers to board w/others deplaning .50 peopleOn bridge while next flight  board http://t.co/HfoF33iyhi
Cancelled Flight,"@united I'd say most of the public can't extend their vacation a week, point is why advertise multiple flights you can't honor?"
Cancelled Flight,"@united Cancelled Flights flt from EWR. ""No crew"".Tells wife &amp; 4 yr old to ""get to NY to catch @AirCanada"" to YYZ! Good #customerservice is dead."
Late Flight,"@united Now arriving a day and a half Late Flightr than supposed to. Lesson of the day, don't believe verbal or written confirmations from United"
Flight Attendant Complaints,@united Arriving at the airport 2 hours before departure time and still missing your flight bc you actually don't have an electronic ticket
Late Flight,@united 1.75 hour delay.  Nothing says sorry like a voucher.  Missing time with family.  #family #precioustime
Late Flight,@United has two whole people trying to schedule a flight's worth of missed connections. Shameful http://t.co/6kqLhVaP7G
Flight Attendant Complaints,"@united is unfriendly screw family, that hates kids and moms. now waiting on  UA871... pray its better FYVRFN ..due to agent error and tickt"
Flight Attendant Complaints,"@united  gate agent at EWR "" if you are disabled or in a wheel chair, it's time to board, please step"". STEP UP??? Lol"
Flight Attendant Complaints,@united forces us to check our baby bag on overbooked flight complains to wife that we need to much for our baby.. united has no baby meals
Flight Attendant Complaints,@united today take flight to san francisco. .. refuse to let us board with baby early... time we board wont let us take baby carryon bag
